ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_17_R1_2013_wav--3.midi

<meta message set_tempo tempo=500000 time=0>
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message end_of_track time=1>


<meta message track_name name='7.7.13 Group 2' time=0>
<message program_change channel=0 program=0 time=0>
<message control_change channel=0 control=64 value=75 time=32>
<message note_on channel=0 note=77 velocity=0 time=2>
<message note_on channel=0 note=72 velocity=74 time=12>
<message control_change channel=0 control=64 value=70 time=1>
<message control_change channel=0 control=64 value=62 time=16>
<message note_on channel=0 note=72 velocity=0 time=8>
<message control_change channel=0 control=64 value=0 time=6>
<message note_on channel=0 note=48 velocity=73 time=39>
<message note_on channel=0 note=69 velocity=82 time=1>
<message note_on channel=0 note=47 velocity=61 time=1>
<message note_on channel=0 note=47 velocity=0 time=26>
<message note_on channel=0 note=48 velocity=0 time=3>
<message note_on channel=0 note=69 velocity=0 time=19>
<message note_on channel=0 note=67 velocity=50 time=28>
<message note_on channel=0 note=67 velocity=0 time=27>
<message note_on channel=0 note=65 velocity=67 time=19>
<message note_on channel=0 note=65 velocity=0 time=33>
<message note_on channel=0 note=60 velocity=65 time=19>
<message note_on channel=0 note=60 velocity=0 time=26>
<message note_on channel=0 note=48 velocity=65 time=41>
<message note_on channel=0 note=57 velocity=72 time=3>
<message note_on channel=0 note=48 velocity=0 time=20>
<message note_on channel=0 note=57 velocity=0 time=25>
<message note_on channel=0 note=55 velocity=70 time=13>
<message note_on channel=0 note=55 velocity=0 time=36>
<message note_on channel=0 note=53 velocity=68 time=27>
<message note_on channel=0 note=53 velocity=0 time=34>
<message note_on channel=0 note=48 velocity=58 time=17>
<message note_on channel=0 note=48 velocity=0 time=35>
<message note_on channel=0 note=29 velocity=61 time=10>
<message control_change channel=0 control=64 value=52 time=8>
<message note_on channel=0 note=41 velocity=55 time=5>
<message note_on channel=0 note=53 velocity=66 time=1>
<message control_change channel=0 control=64 value=54 time=8>
<message note_on channel=0 note=29 velocity=0 time=8>
<message control_change channel=0 control=64 value=59 time=8>
<message note_on channel=0 note=41 velocity=0 time=4>
<message note_on channel=0 note=53 velocity=0 time=6>
<message control_change channel=0 control=64 value=65 time=5>
<message control_change channel=0 control=64 value=73 time=15>
<message note_on channel=0 note=55 velocity=57 time=7>
<message control_change channel=0 control=64 value=84 time=9>
<message control_change channel=0 control=64 value=98 time=14>
<message note_on channel=0 note=55 velocity=0 time=2>
<message control_change channel=0 control=64 value=115 time=14>
<message note_on channel=0 note=57 velocity=72 time=3>
<message control_change channel=0 control=64 value=127 time=12>
<message note_on channel=0 note=57 velocity=0 time=12>
<message note_on channel=0 note=60 velocity=76 time=50>
<message control_change channel=0 control=64 value=101 time=14>
<message control_change channel=0 control=64 value=74 time=15>
<message note_on channel=0 note=60 velocity=0 time=4>
<message control_change channel=0 control=64 value=47 time=11>
<message control_change channel=0 control=64 value=0 time=15>
<message note_on channel=0 note=50 velocity=77 time=1>
<message note_on channel=0 note=65 velocity=75 time=8>
<message note_on channel=0 note=65 velocity=0 time=30>
<message note_on channel=0 note=67 velocity=71 time=22>
<message note_on channel=0 note=67 velocity=0 time=46>
<message note_on channel=0 note=69 velocity=78 time=8>
<message note_on channel=0 note=69 velocity=0 time=21>
<message note_on channel=0 note=50 velocity=0 time=38>
<message note_on channel=0 note=72 velocity=80 time=7>
<message note_on channel=0 note=48 velocity=67 time=7>
<message note_on channel=0 note=72 velocity=0 time=26>
<message control_change channel=0 control=64 value=28 time=16>
<message note_on channel=0 note=48 velocity=0 time=4>
<message note_on channel=0 note=57 velocity=74 time=1>
<message control_change channel=0 control=64 value=66 time=9>
<message note_on channel=0 note=77 velocity=80 time=0>
<message control_change channel=0 control=64 value=66 time=16>
<message note_on channel=0 note=77 velocity=0 time=11>
<message note_on channel=0 note=57 velocity=0 time=1>
<message control_change channel=0 control=64 value=67 time=18>
<message note_on channel=0 note=79 velocity=77 time=3>
<message control_change channel=0 control=64 value=68 time=13>
<message control_change channel=0 control=64 value=71 time=15>
<message control_change channel=0 control=64 value=78 time=14>
<message note_on channel=0 note=79 velocity=0 time=2>
<message note_on channel=0 note=81 velocity=85 time=10>
<message control_change channel=0 control=64 value=86 time=4>
<message control_change channel=0 control=64 value=99 time=15>
<message note_on channel=0 note=81 velocity=0 time=6>
<message control_change channel=0 control=64 value=127 time=10>
<message note_on channel=0 note=84 velocity=82 time=42>
<message note_on channel=0 note=84 velocity=0 time=44>
<message note_on channel=0 note=53 velocity=81 time=9>
<message note_on channel=0 note=89 velocity=79 time=0>
<message note_on channel=0 note=53 velocity=0 time=27>
<message note_on channel=0 note=89 velocity=0 time=19>
<message note_on channel=0 note=91 velocity=85 time=3>
<message note_on channel=0 note=91 velocity=0 time=37>
<message note_on channel=0 note=93 velocity=88 time=11>
<message note_on channel=0 note=91 velocity=89 time=69>
<message note_on channel=0 note=45 velocity=67 time=1>
<message note_on channel=0 note=93 velocity=0 time=12>
<message control_change channel=0 control=64 value=98 time=21>
<message note_on channel=0 note=45 velocity=0 time=5>
<message note_on channel=0 note=41 velocity=69 time=8>
<message control_change channel=0 control=64 value=68 time=2>
<message note_on channel=0 note=48 velocity=79 time=3>
<message note_on channel=0 note=89 velocity=82 time=2>
<message note_on channel=0 note=91 velocity=0 time=6>
<message control_change channel=0 control=64 value=0 time=4>
<message note_on channel=0 note=89 velocity=0 time=33>
<message note_on channel=0 note=84 velocity=77 time=9>
<message note_on channel=0 note=84 velocity=0 time=23>
<message note_on channel=0 note=81 velocity=82 time=41>
<message note_on channel=0 note=81 velocity=0 time=62>
<message note_on channel=0 note=79 velocity=74 time=1>
<message note_on channel=0 note=79 velocity=0 time=43>
<message control_change channel=0 control=64 value=51 time=2>
<message note_on channel=0 note=48 velocity=0 time=2>
<message note_on channel=0 note=77 velocity=80 time=0>
<message control_change channel=0 control=64 value=65 time=12>
<message note_on channel=0 note=41 velocity=0 time=1>
<message control_change channel=0 control=64 value=74 time=15>
<message note_on channel=0 note=77 velocity=0 time=7>
<message control_change channel=0 control=64 value=96 time=8>
<message control_change channel=0 control=64 value=127 time=16>
<message note_on channel=0 note=72 velocity=62 time=3>
<message note_on channel=0 note=72 velocity=0 time=22>
<message note_on channel=0 note=69 velocity=79 time=33>
<message note_on channel=0 note=69 velocity=0 time=57>
<message note_on channel=0 note=67 velocity=72 time=7>
<message control_change channel=0 control=64 value=104 time=15>
<message control_change channel=0 control=64 value=70 time=14>
<message note_on channel=0 note=67 velocity=0 time=7>
<message control_change channel=0 control=64 value=0 time=9>
<message note_on channel=0 note=65 velocity=69 time=6>
<message note_on channel=0 note=48 velocity=75 time=10>
<message note_on channel=0 note=47 velocity=68 time=1>
<message note_on channel=0 note=65 velocity=0 time=27>
<message note_on channel=0 note=47 velocity=0 time=3>
<message note_on channel=0 note=48 velocity=0 time=3>
<message note_on channel=0 note=60 velocity=63 time=15>
<message note_on channel=0 note=60 velocity=0 time=22>
<message note_on channel=0 note=57 velocity=73 time=44>
<message note_on channel=0 note=57 velocity=0 time=57>
<message note_on channel=0 note=55 velocity=68 time=10>
<message note_on channel=0 note=55 velocity=0 time=38>
<message note_on channel=0 note=48 velocity=64 time=22>
<message note_on channel=0 note=53 velocity=62 time=1>
<message note_on channel=0 note=53 velocity=0 time=27>
<message note_on channel=0 note=48 velocity=0 time=15>
<message note_on channel=0 note=48 velocity=57 time=13>
<message note_on channel=0 note=48 velocity=0 time=26>
<message note_on channel=0 note=53 velocity=68 time=24>
<message note_on channel=0 note=53 velocity=0 time=31>
<message note_on channel=0 note=57 velocity=66 time=18>
<message note_on channel=0 note=57 velocity=0 time=48>
<message note_on channel=0 note=55 velocity=67 time=7>
<message note_on channel=0 note=28 velocity=61 time=4>
<message control_change channel=0 control=64 value=25 time=6>
<message note_on channel=0 note=40 velocity=54 time=5>
<message control_change channel=0 control=64 value=43 time=11>
<message note_on channel=0 note=28 velocity=0 time=7>
<message note_on channel=0 note=55 velocity=0 time=1>
<message control_change channel=0 control=64 value=50 time=7>
<message note_on channel=0 note=40 velocity=0 time=3>
<message control_change channel=0 control=64 value=62 time=13>
<message note_on channel=0 note=48 velocity=71 time=3>
<message control_change channel=0 control=64 value=70 time=11>
<message note_on channel=0 note=48 velocity=0 time=13>
<message control_change channel=0 control=64 value=86 time=3>
<message control_change channel=0 control=64 value=127 time=15>
<message note_on channel=0 note=55 velocity=75 time=15>
<message note_on channel=0 note=55 velocity=0 time=57>
<message note_on channel=0 note=57 velocity=70 time=6>
<message note_on channel=0 note=50 velocity=88 time=53>
<message note_on channel=0 note=57 velocity=0 time=1>
<message control_change channel=0 control=64 value=87 time=4>
<message note_on channel=0 note=58 velocity=78 time=2>
<message control_change channel=0 control=64 value=58 time=14>
<message note_on channel=0 note=58 velocity=0 time=10>
<message control_change channel=0 control=64 value=0 time=5>
<message note_on channel=0 note=60 velocity=86 time=31>
<message note_on channel=0 note=60 velocity=0 time=37>
<message note_on channel=0 note=67 velocity=78 time=40>
<message note_on channel=0 note=67 velocity=0 time=32>
<message note_on channel=0 note=69 velocity=79 time=13>
<message note_on channel=0 note=48 velocity=71 time=3>
<message note_on channel=0 note=50 velocity=0 time=27>
<message note_on channel=0 note=55 velocity=85 time=22>
<message note_on channel=0 note=70 velocity=87 time=0>
<message note_on channel=0 note=69 velocity=0 time=1>
<message control_change channel=0 control=64 value=47 time=15>
<message note_on channel=0 note=48 velocity=0 time=0>
<message note_on channel=0 note=70 velocity=0 time=2>
<message note_on channel=0 note=55 velocity=0 time=6>
<message control_change channel=0 control=64 value=74 time=7>
<message control_change channel=0 control=64 value=87 time=15>
<message control_change channel=0 control=64 value=116 time=16>
<message note_on channel=0 note=72 velocity=87 time=4>
<message control_change channel=0 control=64 value=127 time=10>
<message note_on channel=0 note=72 velocity=0 time=14>
<message note_on channel=0 note=79 velocity=89 time=35>
<message note_on channel=0 note=81 velocity=86 time=56>
<message note_on channel=0 note=79 velocity=0 time=1>
<message note_on channel=0 note=62 velocity=94 time=45>
<message note_on channel=0 note=81 velocity=0 time=1>
<message note_on channel=0 note=82 velocity=89 time=2>
<message note_on channel=0 note=82 velocity=0 time=19>
<message note_on channel=0 note=62 velocity=0 time=17>
<message note_on channel=0 note=84 velocity=91 time=30>
<message note_on channel=0 note=84 velocity=0 time=47>
<message note_on channel=0 note=91 velocity=87 time=26>
<message note_on channel=0 note=40 velocity=68 time=14>
<message note_on channel=0 note=48 velocity=82 time=33>
<message note_on channel=0 note=91 velocity=0 time=3>
<message note_on channel=0 note=40 velocity=0 time=6>
<message control_change channel=0 control=64 value=100 time=2>
<message note_on channel=0 note=93 velocity=89 time=9>
<message control_change channel=0 control=64 value=61 time=6>
<message note_on channel=0 note=48 velocity=0 time=12>
<message control_change channel=0 control=64 value=0 time=3>
<message note_on channel=0 note=60 velocity=95 time=33>
<message note_on channel=0 note=94 velocity=95 time=1>
<message note_on channel=0 note=93 velocity=0 time=8>
<message control_change channel=0 control=64 value=41 time=18>
<message note_on channel=0 note=62 velocity=40 time=13>
<message note_on channel=0 note=62 velocity=0 time=1>
<message control_change channel=0 control=64 value=65 time=2>
<message control_change channel=0 control=64 value=71 time=15>
<message note_on channel=0 note=94 velocity=0 time=5>
<message note_on channel=0 note=93 velocity=78 time=7>
<message control_change channel=0 control=64 value=79 time=3>
<message control_change channel=0 control=64 value=83 time=15>
<message note_on channel=0 note=60 velocity=0 time=6>
<message control_change channel=0 control=64 value=85 time=9>
<message note_on channel=0 note=91 velocity=82 time=10>
<message control_change channel=0 control=64 value=87 time=6>
<message note_on channel=0 note=93 velocity=0 time=0>
<message control_change channel=0 control=64 value=90 time=23>
<message control_change channel=0 control=64 value=92 time=15>
<message note_on channel=0 note=91 velocity=0 time=5>
<message note_on channel=0 note=84 velocity=82 time=6>
<message control_change channel=0 control=64 value=94 time=4>
<message control_change channel=0 control=64 value=95 time=15>
<message note_on channel=0 note=84 velocity=0 time=4>
<message control_change channel=0 control=64 value=96 time=13>
<message note_on channel=0 note=82 velocity=89 time=33>
<message note_on channel=0 note=82 velocity=0 time=44>
<message note_on channel=0 note=81 velocity=75 time=22>
<message note_on channel=0 note=79 velocity=76 time=50>
<message note_on channel=0 note=81 velocity=0 time=1>
<message note_on channel=0 note=79 velocity=0 time=31>
<message note_on channel=0 note=72 velocity=81 time=12>
<message control_change channel=0 control=64 value=91 time=4>
<message control_change channel=0 control=64 value=77 time=15>
<message note_on channel=0 note=72 velocity=0 time=3>
<message control_change channel=0 control=64 value=64 time=11>
<message control_change channel=0 control=64 value=0 time=16>
<message note_on channel=0 note=48 velocity=76 time=20>
<message note_on channel=0 note=70 velocity=82 time=1>
<message note_on channel=0 note=47 velocity=64 time=3>
<message note_on channel=0 note=47 velocity=0 time=24>
<message note_on channel=0 note=48 velocity=0 time=0>
<message note_on channel=0 note=70 velocity=0 time=18>
<message note_on channel=0 note=69 velocity=70 time=23>
<message note_on channel=0 note=69 velocity=0 time=46>
<message note_on channel=0 note=67 velocity=58 time=14>
<message note_on channel=0 note=67 velocity=0 time=22>
<message note_on channel=0 note=60 velocity=66 time=22>
<message note_on channel=0 note=60 velocity=0 time=29>
<message note_on channel=0 note=58 velocity=74 time=34>
<message note_on channel=0 note=48 velocity=62 time=3>
<message note_on channel=0 note=48 velocity=0 time=25>
<message note_on channel=0 note=58 velocity=0 time=17>
<message note_on channel=0 note=57 velocity=63 time=18>
<message note_on channel=0 note=57 velocity=0 time=36>
<message note_on channel=0 note=55 velocity=43 time=29>
<message note_on channel=0 note=55 velocity=0 time=29>
<message note_on channel=0 note=48 velocity=61 time=14>
<message note_on channel=0 note=48 velocity=0 time=26>
<message note_on channel=0 note=28 velocity=53 time=23>
<message control_change channel=0 control=64 value=50 time=19>
<message note_on channel=0 note=55 velocity=65 time=6>
<message note_on channel=0 note=40 velocity=44 time=3>
<message note_on channel=0 note=28 velocity=0 time=1>
<message control_change channel=0 control=64 value=62 time=5>
<message control_change channel=0 control=64 value=65 time=16>
<message note_on channel=0 note=40 velocity=0 time=7>
<message control_change channel=0 control=64 value=69 time=8>
<message note_on channel=0 note=55 velocity=0 time=1>
<message control_change channel=0 control=64 value=73 time=15>
<message note_on channel=0 note=57 velocity=60 time=9>
<message control_change channel=0 control=64 value=77 time=5>
<message control_change channel=0 control=64 value=82 time=15>
<message control_change channel=0 control=64 value=85 time=16>
<message note_on channel=0 note=57 velocity=0 time=6>
<message control_change channel=0 control=67 value=13 time=8>
<message note_on channel=0 note=58 velocity=74 time=1>
<message control_change channel=0 control=67 value=33 time=14>
<message note_on channel=0 note=58 velocity=0 time=10>
<message control_change channel=0 control=67 value=52 time=6>
<message control_change channel=0 control=64 value=79 time=15>
<message control_change channel=0 control=67 value=70 time=0>
<message control_change channel=0 control=64 value=68 time=16>
<message control_change channel=0 control=67 value=86 time=0>
<message note_on channel=0 note=60 velocity=78 time=4>
<message control_change channel=0 control=64 value=42 time=10>
<message control_change channel=0 control=67 value=95 time=0>
<message control_change channel=0 control=64 value=0 time=15>
<message control_change channel=0 control=67 value=96 time=0>
<message note_on channel=0 note=50 velocity=61 time=0>
<message note_on channel=0 note=60 velocity=0 time=2>
<message note_on channel=0 note=67 velocity=67 time=40>
<message control_change channel=0 control=67 value=95 time=5>
<message control_change channel=0 control=67 value=95 time=14>
<message note_on channel=0 note=67 velocity=0 time=9>
<message control_change channel=0 control=67 value=93 time=6>
<message control_change channel=0 control=67 value=91 time=16>
<message note_on channel=0 note=69 velocity=66 time=2>
<message control_change channel=0 control=67 value=90 time=13>
<message control_change channel=0 control=67 value=88 time=14>
<message note_on channel=0 note=69 velocity=0 time=14>
<message control_change channel=0 control=67 value=87 time=2>
<message note_on channel=0 note=70 velocity=74 time=9>
<message control_change channel=0 control=67 value=84 time=6>
<message note_on channel=0 note=50 velocity=0 time=11>
<message control_change channel=0 control=67 value=81 time=5>
<message note_on channel=0 note=70 velocity=0 time=5>
<message control_change channel=0 control=67 value=76 time=10>
<message note_on channel=0 note=48 velocity=59 time=6>
<message control_change channel=0 control=67 value=68 time=8>
<message note_on channel=0 note=72 velocity=80 time=3>
<message control_change channel=0 control=64 value=8 time=13>
<message control_change channel=0 control=67 value=58 time=0>
<message control_change channel=0 control=64 value=58 time=15>
<message control_change channel=0 control=67 value=51 time=0>
<message note_on channel=0 note=72 velocity=0 time=0>
<message control_change channel=0 control=64 value=59 time=15>
<message control_change channel=0 control=67 value=45 time=0>
<message note_on channel=0 note=58 velocity=71 time=0>
<message control_change channel=0 control=64 value=62 time=16>
<message control_change channel=0 control=67 value=40 time=0>
<message note_on channel=0 note=79 velocity=76 time=6>
<message control_change channel=0 control=64 value=64 time=9>
<message control_change channel=0 control=67 value=31 time=0>
<message note_on channel=0 note=48 velocity=0 time=9>
<message control_change channel=0 control=64 value=67 time=7>
<message control_change channel=0 control=67 value=18 time=0>
<message note_on channel=0 note=79 velocity=0 time=6>
<message control_change channel=0 control=64 value=71 time=9>
<message control_change channel=0 control=67 value=8 time=0>
<message note_on channel=0 note=81 velocity=82 time=9>
<message note_on channel=0 note=58 velocity=0 time=3>
<message control_change channel=0 control=64 value=78 time=2>
<message control_change channel=0 control=67 value=0 time=0>
<message control_change channel=0 control=64 value=85 time=16>
<message control_change channel=0 control=64 value=94 time=15>
<message note_on channel=0 note=81 velocity=0 time=9>
<message control_change channel=0 control=64 value=110 time=7>
<message note_on channel=0 note=82 velocity=81 time=0>
<message control_change channel=0 control=64 value=127 time=15>
<message note_on channel=0 note=82 velocity=0 time=6>
<message note_on channel=0 note=84 velocity=81 time=35>
<message note_on channel=0 note=84 velocity=0 time=36>
<message note_on channel=0 note=91 velocity=85 time=24>
<message note_on channel=0 note=55 velocity=60 time=5>
<message note_on channel=0 note=55 velocity=0 time=23>
<message note_on channel=0 note=91 velocity=0 time=27>
<message note_on channel=0 note=93 velocity=86 time=0>
<message note_on channel=0 note=93 velocity=0 time=52>
<message note_on channel=0 note=94 velocity=90 time=0>
<message note_on channel=0 note=94 velocity=0 time=52>
<message note_on channel=0 note=43 velocity=62 time=8>
<message note_on channel=0 note=93 velocity=83 time=8>
<message control_change channel=0 control=64 value=86 time=20>
<message note_on channel=0 note=43 velocity=0 time=3>
<message control_change channel=0 control=64 value=63 time=13>
<message note_on channel=0 note=48 velocity=75 time=6>
<message note_on channel=0 note=93 velocity=0 time=7>
<message control_change channel=0 control=64 value=0 time=2>
<message note_on channel=0 note=91 velocity=75 time=3>
<message note_on channel=0 note=40 velocity=56 time=3>
<message note_on channel=0 note=91 velocity=0 time=24>
<message note_on channel=0 note=84 velocity=75 time=20>
<message note_on channel=0 note=84 velocity=0 time=23>
<message note_on channel=0 note=82 velocity=81 time=47>
<message note_on channel=0 note=82 velocity=0 time=21>
<message note_on channel=0 note=40 velocity=0 time=33>
<message note_on channel=0 note=81 velocity=69 time=5>
<message note_on channel=0 note=83 velocity=21 time=10>
<message note_on channel=0 note=83 velocity=0 time=1>
<message control_change channel=0 control=64 value=43 time=22>
<message note_on channel=0 note=81 velocity=0 time=9>
<message note_on channel=0 note=48 velocity=0 time=1>
<message control_change channel=0 control=64 value=55 time=6>
<message note_on channel=0 note=79 velocity=73 time=6>
<message control_change channel=0 control=64 value=57 time=8>
<message control_change channel=0 control=64 value=62 time=16>
<message note_on channel=0 note=79 velocity=0 time=2>
<message control_change channel=0 control=64 value=64 time=13>
<message note_on channel=0 note=72 velocity=72 time=10>
<message control_change channel=0 control=64 value=67 time=5>
<message control_change channel=0 control=64 value=70 time=16>
<message note_on channel=0 note=72 velocity=0 time=5>
<message control_change channel=0 control=64 value=74 time=10>
<message control_change channel=0 control=64 value=77 time=14>
<message control_change channel=0 control=64 value=78 time=16>
<message note_on channel=0 note=70 velocity=79 time=2>
<message note_on channel=0 note=70 velocity=0 time=44>
<message note_on channel=0 note=69 velocity=66 time=14>
<message control_change channel=0 control=64 value=76 time=1>
<message control_change channel=0 control=64 value=68 time=16>
<message control_change channel=0 control=64 value=38 time=15>
<message control_change channel=0 control=64 value=0 time=14>
<message note_on channel=0 note=69 velocity=0 time=0>
<message note_on channel=0 note=48 velocity=67 time=10>
<message note_on channel=0 note=67 velocity=71 time=0>
<message note_on channel=0 note=48 velocity=0 time=21>
<message note_on channel=0 note=47 velocity=27 time=4>
<message note_on channel=0 note=47 velocity=0 time=1>
<message note_on channel=0 note=67 velocity=0 time=1>
<message note_on channel=0 note=60 velocity=63 time=30>
<message note_on channel=0 note=60 velocity=0 time=23>
<message note_on channel=0 note=58 velocity=72 time=44>
<message note_on channel=0 note=58 velocity=0 time=51>
<message note_on channel=0 note=57 velocity=64 time=13>
<message note_on channel=0 note=57 velocity=0 time=38>
<message note_on channel=0 note=48 velocity=61 time=17>
<message note_on channel=0 note=55 velocity=61 time=3>
<message note_on channel=0 note=48 velocity=0 time=20>
<message note_on channel=0 note=55 velocity=0 time=8>
<message note_on channel=0 note=48 velocity=66 time=33>
<message note_on channel=0 note=48 velocity=0 time=42>
<message note_on channel=0 note=55 velocity=67 time=9>
<message note_on channel=0 note=55 velocity=0 time=53>
<message note_on channel=0 note=58 velocity=76 time=0>
<message note_on channel=0 note=29 velocity=67 time=45>
<message note_on channel=0 note=57 velocity=71 time=3>
<message note_on channel=0 note=41 velocity=66 time=4>
<message control_change channel=0 control=64 value=22 time=4>
<message note_on channel=0 note=58 velocity=0 time=13>
<message control_change channel=0 control=64 value=60 time=3>
<message note_on channel=0 note=29 velocity=0 time=3>
<message note_on channel=0 note=41 velocity=0 time=5>
<message control_change channel=0 control=64 value=69 time=6>
<message note_on channel=0 note=57 velocity=0 time=9>
<message control_change channel=0 control=64 value=77 time=6>
<message note_on channel=0 note=48 velocity=75 time=9>
<message control_change channel=0 control=64 value=87 time=7>
<message control_change channel=0 control=64 value=102 time=15>
<message note_on channel=0 note=48 velocity=0 time=9>
<message control_change channel=0 control=64 value=127 time=6>
<message note_on channel=0 note=53 velocity=81 time=22>
<message note_on channel=0 note=53 velocity=0 time=32>
<message note_on channel=0 note=55 velocity=77 time=14>
<message control_change channel=0 control=64 value=89 time=38>
<message note_on channel=0 note=55 velocity=0 time=11>
<message control_change channel=0 control=64 value=63 time=5>
<message note_on channel=0 note=57 velocity=70 time=9>
<message note_on channel=0 note=50 velocity=84 time=3>
<message control_change channel=0 control=64 value=0 time=3>
<message note_on channel=0 note=57 velocity=0 time=16>
<message note_on channel=0 note=60 velocity=83 time=44>
<message note_on channel=0 note=60 velocity=0 time=34>
<message note_on channel=0 note=65 velocity=79 time=35>
<message note_on channel=0 note=65 velocity=0 time=28>
<message note_on channel=0 note=48 velocity=69 time=8>
<message note_on channel=0 note=67 velocity=77 time=22>
<message note_on channel=0 note=50 velocity=0 time=14>
<message note_on channel=0 note=53 velocity=93 time=29>
<message note_on channel=0 note=48 velocity=0 time=7>
<message note_on channel=0 note=67 velocity=0 time=0>
<message note_on channel=0 note=69 velocity=85 time=1>
<message control_change channel=0 control=64 value=63 time=13>
<message note_on channel=0 note=53 velocity=0 time=2>
<message note_on channel=0 note=69 velocity=0 time=7>
<message control_change channel=0 control=64 value=65 time=7>
<message control_change channel=0 control=64 value=68 time=15>
<message control_change channel=0 control=64 value=77 time=15>
<message note_on channel=0 note=72 velocity=86 time=12>
<message control_change channel=0 control=64 value=100 time=4>
<message control_change channel=0 control=64 value=127 time=14>
<message note_on channel=0 note=72 velocity=0 time=23>
<message note_on channel=0 note=77 velocity=87 time=20>
<message note_on channel=0 note=77 velocity=0 time=41>
<message note_on channel=0 note=79 velocity=85 time=9>
<message note_on channel=0 note=65 velocity=96 time=54>
<message note_on channel=0 note=79 velocity=0 time=2>
<message note_on channel=0 note=81 velocity=90 time=4>
<message note_on channel=0 note=64 velocity=64 time=15>
<message note_on channel=0 note=64 velocity=0 time=1>
<message note_on channel=0 note=81 velocity=0 time=3>
<message note_on channel=0 note=61 velocity=28 time=15>
<message note_on channel=0 note=65 velocity=0 time=34>
<message note_on channel=0 note=61 velocity=0 time=3>
<message note_on channel=0 note=84 velocity=85 time=0>
<message note_on channel=0 note=84 velocity=0 time=43>
<message note_on channel=0 note=89 velocity=82 time=24>
<message note_on channel=0 note=89 velocity=0 time=43>
<message note_on channel=0 note=93 velocity=96 time=13>
<message control_change channel=0 control=64 value=76 time=18>
<message control_change channel=0 control=64 value=0 time=18>
<message note_on channel=0 note=65 velocity=95 time=21>
<message note_on channel=0 note=62 velocity=76 time=3>
<message note_on channel=0 note=58 velocity=67 time=5>
<message note_on channel=0 note=53 velocity=70 time=2>
<message note_on channel=0 note=91 velocity=89 time=4>
<message control_change channel=0 control=64 value=48 time=24>
<message note_on channel=0 note=93 velocity=0 time=1>
<message control_change channel=0 control=64 value=64 time=15>
<message note_on channel=0 note=89 velocity=82 time=9>
<message control_change channel=0 control=64 value=74 time=6>
<message note_on channel=0 note=91 velocity=0 time=12>
<message control_change channel=0 control=64 value=95 time=3>
<message control_change channel=0 control=64 value=127 time=16>
